HSPA5	3.44032e+07	
FYN	3.38311e+07	
DGCR8	3.36228e+07	
NLRC4	3.34394e+07	
PLK1	3.24796e+07	
GSK3B	3.16911e+07	
MMP2	3.15113e+07	
EXO1	3.12094e+07	
FOXM1	3.09992e+07	
TNFAIP3	3.09127e+07	
REST	3.08642e+07	
NOTCH4	3.05944e+07	
PHF20	3.04596e+07	
ESR2	2.99233e+07	
MET	2.99051e+07	
CYBB	2.98335e+07	
NRAS	2.98275e+07	
FGFR2	2.97536e+07	
MYH11	2.94393e+07	
TP53BP2	2.90156e+07	
TOP3A	2.88022e+07	
JAK1	2.757e+07	
LIG4	2.74435e+07	
ARID1B	2.72115e+07	
PER2	2.68498e+07	
ROCK1	2.6752e+07	
MSH6	2.63828e+07	
CACNA1C	2.61518e+07	
H2AC8	2.59995e+07	
TGFBR2	2.59584e+07	
CUL1	2.59475e+07	
CFLAR	2.58986e+07	
CHEK2	2.57744e+07	
DYNC1H1	2.57062e+07	
CASP1	2.56223e+07	
EEF2	2.5448e+07	
KAT5	2.51869e+07	
SOS1	2.51634e+07	
ARID2	2.50158e+07	
RUNX1T1	2.48201e+07	
IGF2R	2.47735e+07	
ABCA1	2.47334e+07	
XPO1	2.42915e+07	
ZBTB16	2.42908e+07	
SMARCA5	2.4256e+07	
HIPK2	2.39456e+07	
CSNK2A1	2.38747e+07	
SETDB1	2.35611e+07	
TTK	2.34019e+07	
PMS1	2.3188e+07	
IL7R	2.31457e+07	
MCM4	2.30759e+07	
AKAP9	2.29816e+07	
SREBF2	2.29672e+07	
CDK1	2.28851e+07	
MAP2K1	2.27745e+07	
TNRC6A	2.27163e+07	
L1CAM	2.25066e+07	
COL3A1	2.22903e+07	
SRC	2.18778e+07	
CYLD	2.1849e+07	
LRP1	2.1832e+07	
EPRS1	2.16377e+07	
POLR2A	2.14477e+07	
APP	2.05624e+07	
VCAM1	2.04491e+07	
THBS2	2.03342e+07	
AKAP13	2.0158e+07	
SUZ12	2.00527e+07	
RBL2	1.99906e+07	
PMS2	1.98011e+07	
H6PD	1.97739e+07	
TCP1	1.97513e+07	
SRCAP	1.9734e+07	
COL1A1	1.91747e+07	
PPARG	1.90876e+07	
NOX4	1.90552e+07	
TFAP2A	1.88918e+07	
POLR1A	1.87651e+07	
PBRM1	1.86562e+07	
DDB1	1.86275e+07	
FBN1	1.84875e+07	
CHUK	1.84212e+07	
TLN2	1.83682e+07	
DLG4	1.83524e+07	
CXCR4	1.8233e+07	
SMAD2	1.81579e+07	
ERCC3	1.81076e+07	
KIF14	1.80892e+07	
LATS1	1.79454e+07	
FBN2	1.79361e+07	
ITGAX	1.77744e+07	
PTPRB	1.75925e+07	
PHGDH	1.74725e+07	
RNF40	1.74432e+07	
XRN2	1.74377e+07	
CABIN1	1.72018e+07	
DHX9	1.67604e+07	
HNRNPU	1.66189e+07	
SGK1	1.64904e+07	
ITGB1	1.63137e+07	
GLI3	1.62173e+07	
SLIT3	1.61641e+07	
RRM2B	1.60653e+07	
POSTN	1.60554e+07	
AGO2	1.60192e+07	
PTPN11	1.56543e+07	
NFATC1	1.55158e+07	
KRT5	1.54902e+07	
UBA1	1.54066e+07	
CEACAM5	1.5372e+07	
BECN1	1.52594e+07	
MYC	1.5109e+07	
CCT6A	1.49151e+07	
RASGRF1	1.491e+07	
MED17	1.4906e+07	
SF3B1	1.48637e+07	
ITGAM	1.48494e+07	
CDC6	1.48145e+07	
TFAM	1.46482e+07	
MDM2	1.46308e+07	
NR3C1	1.46193e+07	
TLN1	1.4528e+07	
ERBB3	1.44879e+07	
SMARCA2	1.42634e+07	
CENPF	1.42403e+07	
CD36	1.40775e+07	
SRSF1	1.40682e+07	
PSMD2	1.40413e+07	
