"Symbol"	"Mutations"	"Samples"	"Samples (%)"	"Cohorts"
"PML"	"337"	"2"	"0.01"	"1"
"RSPO2"	"172"	"2"	"0.01"	"1"
"FGD5"	"683"	"2"	"0.01"	"1"
"ERG"	"309"	"2"	"0.01"	"1"
"WNT1"	"113"	"2"	"0.01"	"1"
"NPM1"	"125"	"2"	"0.01"	"1"
"MCM7"	"295"	"2"	"0.01"	"1"
"CEP89"	"276"	"2"	"0.01"	"1"
"ETV5"	"245"	"2"	"0.01"	"1"
"PWWP2A"	"170"	"2"	"0.01"	"1"
"REST"	"307"	"2"	"0.01"	"1"
"ETV4"	"149"	"2"	"0.01"	"1"
"LRIG3"	"406"	"2"	"0.01"	"1"
"PCM1"	"421"	"2"	"0.01"	"1"
"MAF"	"147"	"2"	"0.01"	"1"
"TAL2"	"34"	"2"	"0.01"	"1"
"HIF1A"	"211"	"2"	"0.01"	"1"
"SH2B3"	"173"	"2"	"0.01"	"1"
"TRIM24"	"339"	"2"	"0.01"	"1"
"SHTN1"	"197"	"2"	"0.01"	"1"
"MIB2"	"286"	"2"	"0.01"	"1"
"ELK4"	"117"	"2"	"0.01"	"1"
"ARNT"	"265"	"2"	"0.01"	"1"
"DDR2"	"473"	"2"	"0.01"	"1"
"RBM15"	"299"	"2"	"0.01"	"1"
"SUFU"	"183"	"2"	"0.01"	"1"
"UBE2A"	"91"	"2"	"0.01"	"1"
"HSP90AB1"	"266"	"2"	"0.01"	"1"
"EPS15"	"267"	"2"	"0.01"	"1"
"CHRDL1"	"229"	"2"	"0.01"	"1"
"WAS"	"213"	"2"	"0.01"	"1"
"SOX21"	"71"	"2"	"0.01"	"1"
"TEC"	"234"	"2"	"0.01"	"1"
"FANCA"	"460"	"2"	"0.01"	"1"
"CANT1"	"187"	"2"	"0.01"	"1"
"PICALM"	"212"	"2"	"0.01"	"1"
"AFF1"	"383"	"2"	"0.01"	"1"
"KDM5A"	"533"	"2"	"0.01"	"1"
"MACC1"	"362"	"2"	"0.01"	"1"
"FNDC3B"	"444"	"2"	"0.01"	"1"
"CHD7"	"1,137"	"2"	"0.01"	"1"
"PTK6"	"164"	"2"	"0.01"	"1"
"H4C9"	"90"	"2"	"0.01"	"1"
"ZNF274"	"256"	"2"	"0.01"	"1"
"RECQL4"	"423"	"2"	"0.01"	"1"
"ZCCHC8"	"234"	"2"	"0.01"	"1"
"ACSL6"	"337"	"2"	"0.01"	"1"
