TF	Target
E2F1	SAP30L
SP1	SNHG22
TFAP2C	MIR6835
JUND	WDR81
CREBBP	RARA
GABPA	FBXL19-AS1
ATF3	AUP1
E2F1	RALGAPA2
TCF3	EPHB3
PAX5	SENP1
JUN	SPRED3
MAX	FOXRED2
TFAP2A	ARSG
E2F4	GINS1
JUN	CA13
USF1	HCN3
JUN	OSGEP
GABPA	GCA
EGR1	BTBD2
GATA3	HOXB2
EGR1	TPT1-AS1
TCF3	MED22
EBF1	PCSK4
E2F6	SOX15
MYC	MCM5
EGR1	DIAPH1
SP1	PTMA
FOS	CNN1
EGR1	AGO3
SP1	CS
HSF1	CCT4
TFAP2C	SLC38A2
GABPA	ZNF622
FOXA2	E2F1
TFAP2C	MELK
MAX	PLAC8
MAX	UBFD1
JUN	MBNL1-AS1
TFAP2A	CEP63
MAX	IRAK4
CREB1	PIP4K2B
SP1	TEAD2
GABPA	LCMT2
PAX5	MIR3677
USF1	CHMP4A
MAX	PEX3
MYC	CABLES1
IRF7	IFNA2
TCF3	LGALS9
SP1	MSH5
SPI1	REPIN1
ARNT	NCKAP5L
GABPA	ZNF256
JUN	TEAD1
E2F1	LRBA
CTCF	NCS1
CREBBP	CDKN1B
CREB1	LINC01521
JUN	INO80B
IRF1	ATXN7L3
E2F3	ARPC5L
CTCF	HEPACAM2
E2F1	LIN37
GABPA	TNIP2
E2F1	NBEAL2
CTCF	WFDC3
NFYB	ACTB
ARNT	ZNF358
USF1	GEMIN5
SP1	KCNQ1OT1
TFAP2C	IMPDH1
ESR1	ARHGEF6
JUN	YWHAG
NFKB2	CD40
GABPA	SPRYD3
TFAP2C	PRR7-AS1
JUN	TBC1D22A
TFAP2A	PITPNM1
TFAP2A	SF3B2
NFYC	FDPS
CREB1	INHBE
RFXAP	HLA-DRB4
EGR1	MIER1
GABPA	KBTBD4
CREB1	ID2
GABPA	RPS6
JUNB	CLUH
JUND	CIRBP
MYC	SNORD100
CEBPA	FTSJ3
SPI1	ATP6V1G2
USF1	WSB1
E2F1	PPP6C
E2F1	RSBN1
USF1	ODF2
FOXA1	ECH1
CTNNB1	MYC
FOSL1	OSBPL10
USF1	PPP1R3C
CEBPA	DHX58
NR2F2	LINC00324
YY1	TMEM86B
CEBPB	SYNCRIP
SP1	CLIC1
CTCF	TUFM
GABPA	C2orf42
E2F1	NDUFA1
CREB1	AR
USF1	AZGP1
E2F4	MAP3K7
E2F1	VAPA
SP1	ITGA5
ATF2	UBQLN1
FOS	AAK1
E2F1	CD6
CTCF	HES4
E2F6	SP3
USF1	FAM193B
TFAP2C	ESYT2
E2F4	UBE2M
FOXA2	PCMTD1
CTCF	SPAG17
GABPA	VPS53
EGR1	FAM118A
SPI1	IRAK4
E2F7	CBX5
POU2F1	RNU5D-1
GABPA	MAML1
CEBPA	ZNF518A
SP1	MAP1LC3B
GATA1	NF2
FOXA1	C1orf105
TCF3	SNORD77
E2F1	CBFA2T2
EBF1	MIR5193
CTCF	TSPAN17
EGR1	MIR6869
CTCF	EPC2
MYC	SYT7
EGR1	PHPT1
TBP	CREB3L1
JUND	CLUH
CTCF	ATP6V1B1-AS1
ARNT	CACNB3
SPI1	CD52
GABPA	SARNP
ATF1	MIR378D2
TFAP2A	FNDC3B
SP1	ALOX15B
TFAP2C	CLCN4
CEBPA	ARHGEF6
NFKB1	KLK3
CTCF	CCSER2
PAX5	FHL2
YY1	HSD17B8
STAT3	INTS5
E2F1	AGAP2-AS1
FOXA2	RIBC2
MAX	ADCK1
EP300	MTPN
POU2F1	ZNF70
GABPA	ARMC7
LMO2	PLEKHG6
JUN	TAF15
SPI1	UNC93B1
JUND	CTNNA1
SPI1	CTSK
JUN	MIR497HG
SP1	GPR108
CTCF	BRPF1
E2F1	GPAA1
MAX	NRROS
E2F1	MCM2
GABPA	NSMCE1
SREBF1	RPS9
E2F7	MEPCE
GABPA	EDEM2
SP1	CTSB
EGR1	PABPC1
CTCF	OLFM1
REST	SYT4
ETS1	LIF
IRF1	GSE1
PAX5	SOCS7
MAX	GTF3C2
HNF4A	NSMF
EGR1	UBE2M
SP1	CISH
JUN	RAB11FIP3
CTCF	OLR1
GABPA	ARPC4-TTLL3
SP1	PARD6B
TBP	MIR4793
PAX5	MAP3K5
CTCF	PPFIBP2
YY1	EPC1
GABPA	RFNG
HNF4A	TMA7
CTCF	C1QBP
CTCF	MRPS2
USF1	SLC25A33
MAX	RAC3
CTCF	AK9
USF1	MIR6813
MAX	SP2-AS1
MYC	FAM3C
YY1	IWS1
NFE2	SCRT2
FOXA2	TTC3
YY1	UBL3
MAX	ICA1
EBF1	DDX20
GATA1	YIPF7
TFAP2C	ANKRD27
E2F1	SH3GLB1
ATF1	RPS27
FOS	GAB2
MAX	MTCH2
GABPA	SLC35E3
MAX	TMEM151A
TFAP2C	FJX1
MYB	DHX58
TFAP2C	LRP5
MAX	IL34
TFAP2C	ARHGAP35
EGR1	IL6
SPI1	ARFRP1
EGR1	SEC1P
MAX	MRPL17
EP300	MIR4685
EGR1	TET3
FOXA1	SNORA71E
MAX	MYADM
SP1	MIR6719
GABPA	MAPK8IP3
E2F3	MYBL2
GABPA	MUS81
CEBPA	SAMD4B
CREB1	MYH10
EGR1	SNORD83A
GABPA	GPR107
SP1	CCL20
MYC	MRPL41
TFAP2C	MBD2
MAX	MDH2
MAX	FOXN3
E2F1	GMPPB
MAX	RAET1K
FOXO1	GABARAP
CTCF	SLC38A8
MAX	PRDM15
PPARG	FKBP5
GABPA	NYAP1
CEBPA	RTN4RL2
EP300	HIPK4
CREB1	ITFG2
EGR1	LDLR
E2F1	MIR378D2
ESR1	BCL2
CTCF	P4HA2-AS1
MAX	AVEN
ATF2	MAP1LC3A
SP1	LRP5
CREB1	LINC01220
TFAP2A	RCCD1
TFAP2A	ACO1
E2F6	NBEAL2
CTCF	SEL1L3
E2F1	YAP1
CREB1	SREBF2
GABPA	SLC25A46
SP1	RPS28
MAX	TMEM147
EBF1	SPIB
GATA1	PTPN12
SP1	PKM
CREB1	PRRC2A
MAX	IFIT1B
USF1	RTN4
FOS	CCNG1
TCF3	SPATC1
GABPA	SIPA1
SP1	LUC7L3
RELA	VEGFD
MAX	PGK1
CTCF	NPR3
SPI1	C11orf24
JUND	ITGB3
MAX	CCDC24
FOSL1	EIF3J
TFAP2C	AP5S1
SP1	SRC
MAX	CCNE1
ESR1	PA2G4P4
EGR1	RC3H2
PPARG	VWA1
GABPA	IDH3B
ATF3	FN1
SP1	LMNTD2
E2F7	SENP1
STAT1	INTS6-AS1
PBX1	ANKRD54
ATF3	MKLN1
JUN	BAZ2A
SP1	ZMIZ1-AS1
YY1	SP3
TFAP2A	C1orf220
FOS	NEK2
CREB1	CLOCK
CTCF	IRF3
CTCF	NCOA7
GATA1	TBXA2R
E2F1	SNORD27
ATF3	PDLIM3
GABPA	TLN1
MAX	HSD17B14
NFIC	PRR19
SP1	RNASET2
TFAP4	PLEC
MAX	EVA1C
RELA	MIR10398
TFAP2A	MAP3K14-AS1
SPI1	LINC01237
E2F1	RELT
GABPA	RNU1-1
CREB1	LMTK2
GABPA	THAP2
CTCF	TTLL11
CTCF	CRB2
MYC	LRRC45
POU2F2	DOK2
E2F1	LINC00938
EP300	ZBTB38
NR2F2	SMIM24
NFYB	DST
CTCF	MRPL10
ELK1	ILK
MYC	ATF6
USF1	CASP9
MYC	ILF3-DT
GABPA	SCMH1
TFAP2A	BMP1
E2F1	UXT-AS1
MAX	ST3GAL1
CREB1	MAOA
ATF3	RCE1
MAX	BTBD7
SP1	ZNF823
MAX	FAM86FP
GATA1	FLT1
NR2F2	PRR12
MAX	PLIN2
GABPA	YME1L1
JUN	SPAG9
SRF	JUND
TFAP2C	ANKHD1
E2F6	MIR6835
MAX	ABCA3
MITF	HIF1A
JUNB	PRX
RFXAP	HLA-DMB
GATA3	ZNF282
JUND	PHLDA2
CTCF	PFKFB2
MYC	ACOT7
EGR1	PACS1
JUN	PDE4DIPP2
NR2F2	MVP
MAX	FAXDC2
CREB1	TRAPPC3
GABPA	WDR74
FOS	ADIPOR1
CTCF	SLC25A37
GABPA	SRCAP
FOS	RELT
FOS	LAMC1
CTCF	TMEM210
CTCF	WNT7B
USF1	SMYD4
FOS	PRSS36
MYC	EFTUD2
EBF1	WEE1
EP300	RSBN1
CTCF	SLC22A23
ELK1	CFL1
ATF2	B4GALNT4
GABPA	CYB561
GABPA	RABGEF1
USF1	HES4
FOXA1	SPTBN1
ATF1	NEK1
MYC	FPGS
SPI1	CCDC33
SPI1	PXN
MAX	ZFP62
TFAP2C	DNAJB2
CTCF	ARHGEF7
GABPA	BRWD3
MAX	PRPS1
SP3	ETF1
MAX	SURF6
JUNB	FTL
FOXA2	RTN4IP1
CREB1	TLE4
HNF4A	RNF220
FOXA2	CCDC159
TFAP2C	NOVA2
ATF3	SIDT2
ARNT	MED31
ATF2	PITPNA
RELA	GATA3
TCF3	ARHGAP1
SP1	ARRDC1-AS1
ATF2	LMCD1-AS1
GATA1	RBM39
FOXA1	GANC
SPI1	RBM34
TFAP2C	NOL4L
E2F1	CTDSP1
CTCF	HTRA3
CTCF	ROR2
GABPA	LINC00265
ATF1	VWA7
E2F6	SCAI
EGR1	CAPN7
TP53	CASP1
EGR1	UMAD1
FOXA2	SNAPIN
CTCF	CAMK1D
NR2F2	WAS
ATF1	FER
SP1	B4GALT1
GATA1	BACH1
TFAP2C	S100A11
GABPA	MIATNB
MAX	GOLGA8B
TBP	LDB1
TFAP2C	PPP1R3C
GABPA	CHMP5
CTCF	ACBD5
JUND	PLEKHG4
TCF3	FGFR4
MAX	TTL
USF2	DUSP1
YY1	INAFM2
E2F1	ETFDH
SP1	AP2A1
GABPA	POLR2I
MAX	RAP2B
CEBPA	NDUFA4
FOXA2	PKDCC
CTCF	NAA20
TFAP2A	BRD2
MAX	PICALM
CTCF	RAMP1
ATF3	SREBF1
GABPA	SMAD4
EGR1	BAHD1
MAX	RPUSD4
ARNT	RPL23A
TFAP2A	NUP210
MAX	PRDM4
CTCF	TET3
JUN	NAA25
GATA1	ADAM10
JUND	STK40
EBF1	ITGB2
MAX	PSEN2
EGR1	CD9
GABPA	RUNDC1
MAX	KPNA6
SP1	TGFBR2
SP1	PROSER3
CEBPB	POU5F1
E2F1	PEG3
TFAP2A	HMGA1
E2F1	TMOD3
SP1	PDP2
SP1	KCNH8
GABPA	THTPA
FOXA1	ZFP36L2
USF1	RUFY3
SPI1	CDKN2AIP
STAT4	PRDM1
JUND	PRAF2
GATA1	SRP68
MAX	KATNB1
E2F6	AHDC1
GABPA	DPP8
SPI1	TMEM62
MAX	HPSE
SP1	PLP2
EBF1	TUBA4B
USF1	TMED1
E2F7	NFIB
SP1	IER3
TFAP4	MTFP1
E2F1	NUCKS1
MAX	ACTRT3
MAX	UBXN6
TCF3	TOMM40L
TFAP2C	CDHR2
FOS	TUBB3
TCF4	MYC
SPI1	UBC
CTCF	PKNOX2
SP1	GATAD2B
TCF3	MYBL1
EBF1	MIR142
SPI1	SARNP
TFAP4	MIR6826
GABPA	PPP1R10
CTCF	SCN2A
E2F7	SRSF1
SP1	CHD6
NFYA	HLA-DRA
TFAP2A	TPT1
CTCF	CSDE1
E2F1	CCDC82
SP1	OGFOD2
CTCF	ACAD9
EBF1	IL17C
TFAP2A	NPTN
CTCF	MCFD2
MAX	SERPINB6
TFAP2A	SPIRE1
USF1	ALDH6A1
E2F1	TUBA4A
CREB1	ITGA5
GABPA	ZDHHC5
EGR1	CA11
GABPA	ZNF490
CREB1	CRLF1
SPI1	NIT2
GABPA	LARP4B
NR2F2	DVL2
E2F1	PLEKHF2
MAX	TMEM241
TFAP2A	NAB1
E2F1	ETS1
GABPA	PHAX
MAX	PRAF2
CTCF	HNRNPH1
MAX	PRDX6
FOXA1	CCNE2
EP300	AP1G2
JUN	ETV2
TCF3	RXRB
SPI1	SPN
SRF	TNNC1
GABPA	HAT1
BACH2	EIF4A1
MAX	FASN
EGR1	SCNN1A
TFAP2A	HNRNPA2B1
TBP	CSRNP2
GABPA	PSMC4
GABPA	ZNF143
USF1	TATDN2
GABPA	CDK9
MAX	PRR5
TFAP2A	CLDN9
JUN	ARNT
SPI1	PNKD
MAX	RAD51D
MAX	FOXM1
GATA3	SLC44A1
FOS	TCIRG1
GABPA	KCMF1
GABPA	SNORA51
E2F1	ATF3
GABPA	PSMD7
GATA1	YPEL2
E2F1	CATSPERD
TCF3	SORT1
E2F1	KLHL42
YY1	CLK2
MAX	NEU3
LMO2	SRGAP3
GABPA	ZNF598
CTCF	IRF1
GABPA	SNORD56
TFAP2A	CDC42P3
MAX	DUSP28
GABPA	RAB11B
CTCF	SCARF1
GATA1	GUCA1B
ATF3	NR4A2
LEF1	CCL7
CTCF	NDE1
USF1	PFKFB3
USF1	MCM8
SMAD4	ZFP36
PPARG	ACSL3
YY1	TMEM256-PLSCR3
ATF3	ZBTB38
ETV4	TIMP2
MAX	WDR43
GABPA	MIR378D2
CREB1	HSPA9
MAX	SNORD4B
TFAP2A	AP5S1
GABPA	MED8
NFKB1	CTSB
FOS	RAB3D
CTCF	MUC5B
E2F7	SNORA81
MAX	GNL3L
MAX	PIGP
FOSL1	S100A3
CTCF	COMT
GABPA	LINC00324
JUN	MZF1-AS1
PPARG	TSC2
E2F6	SNORD10
MAX	FANCC
SPI1	CCDC57
EGR1	RAB26
EGR1	CLCF1
MAX	MANEAL
YY1	LTBP2
TFAP2C	NRP1
FOS	MAP3K14
CREB1	PLAT
TCF3	SV2A
E2F7	DLEU1
SRF	TMEM106C
PPARG	ADAMTS15
E2F1	WDR70
PAX5	VWA7
E2F1	NLGN2
USF1	SLC39A1
E2F4	CDC25A
CEBPA	RBM47
TFAP2C	SHMT1
TCF3	ZC3H3
ELK1	TBC1D10C
ATF1	MORF4L2
CTCF	LINC01521
TFAP2C	FAM186B
YY1	ARF1
PAX5	CHKA
FOS	MRTFA
TFAP2C	MYO5A
SP1	NAIF1
EBF1	PAGR1
CTCF	BRD2
TCF3	HS3ST3B1
USF1	CREB3L4
CTCF	RND2
GABPA	LINC01503
SRF	TBX1
FOSL1	ITGB3
GABPA	SMARCC1
GABPA	ACTR3C
TFAP2C	LGR4
NR2F2	MIR718
ETV4	SYN2
JUN	CHRNA9
MAX	PPP1R9B
TFAP2A	JPH2
JUN	SGIP1
MAX	FBXW8
FOXA1	MCM7
GABPA	UBL7
CTCF	ECHDC2
CTCF	SCGB1C2
E2F1	DAXX
GATA1	TMEM30A
USF2	CXCR4
TFAP2C	NEK8
GABPA	DDX39B-AS1
MAX	ZDHHC16
GABPA	MRPL51
MAX	CCL25
ATF2	PPP2R5B
CTCF	PIANP
JUN	CAMTA1
GABPA	CCM2
POU2F2	MAP2K6
JUN	TAF10
EGR1	FOSB
SP1	SCARNA17
E2F1	NUSAP1
YY1	LSM10
RELA	IRF4
JUN	ING4
GABPA	VRK3
GABPA	CDH15
CREB1	FAM229A
CEBPA	PLXNC1
TP53	CTSD
TFAP2C	MRPL38
ARNT	OSBPL10
SPI1	ICE2
JUN	KLHL41
GABPA	SNORD86
GABPA	ERMARD
FOS	HDAC3
NFKB1	TNC
USF1	TRADD
E2F1	YBX2
FOXA2	KIF20B
SPI1	PLXNB2
EGR1	TCTA
CTCF	RNU6-2
EGR1	TBC1D2
FOS	MIR6791
CTCF	LACTB
MAX	TCIRG1
GABPA	SPATA2L
EBF1	PRCD
MEF2A	LINC00881
MYB	ANKRD13D
FOXA2	NR1H3
ATF2	SLC31A1
GATA1	HBZ
HNF4A	ABCC10
MYC	FZR1
E2F3	HCN3
SP1	MIR99B
YY1	ANKRD13A
IRF1	METTL25
NFIC	EML3
CTCF	NFATC2
EGR1	AKR1A1
MAX	SPCS1
MAX	FTSJ1
MAX	RAB4A
CTCF	MIR3124
EBF1	ST6GALNAC4
FLI1	POLR2G
MAX	SLC25A10
NR2F2	SIPA1
CEBPB	CBX4
SP1	KCNH4
NR2F2	DGAT1
IRF1	MIR7703
CREB1	CTNNA1
NFE2	MMRN2
CTCF	MSMP
FOXO3	ABHD4
PAX5	CDK16
CTCF	MRPL4
HNF4A	GNAZ
MAX	E2F1
E2F3	C2CD2L
MYC	CBX3
IRF1	SAMD9L
FOS	INF2
CTCF	FAM66B
TFAP2C	ANLN
E2F7	RAI1
AHR	KCNK1
MYB	MIR6751
MAX	BSDC1
FOXA2	SOD2
TFAP2C	KCNN4
JUNB	PCGF5
SP1	IDH2
GABPA	TTC13
YY1	ANKHD1-EIF4EBP3
MAX	APEH
CTCF	HOPX
CREB1	IGF2-AS
TFAP2A	PTPRJ
GABPA	MIR4734
MAX	ERCC8
TFAP2A	PSMG1
CTCF	CENPM
GABPA	STX16
TEAD4	CCND1
STAT3	A2M
CTCF	RBPJL
PAX5	LTBP2
E2F6	RHOC
E2F7	DHX40
MAX	MFAP3L
MAX	SLC22A23
USF1	SARM1
SMAD3	EDN1
JUN	MRPL4
IRF1	USP18
SP1	ARID3B
CTCF	MGAT5
NFE2	NUTM1
REST	TMEM131
NR2F2	SSTR3
EGR1	BAD
USF1	TMEM129
SPI1	BBX
USF1	B2M
TCF3	APEH
EBF1	IRF2BPL
EGR1	DCTN2
EGR1	CIPC
MYC	ISOC2
GATA3	IL5
ARNT	SYT7
JUN	LIPE-AS1
E2F1	DMC1
JUN	INO80
TFAP2C	SULT1A3
CREB1	ZMYM5
MYC	COPS3
JUN	WNT2B
ATF3	SECISBP2
TFAP2C	FGFR4
SRF	CUL9
SPI1	PEBP1
E2F1	DGCR8
GATA2	MAP4K5
CTCF	SUOX
JUN	TMEM223
ATF1	SIK3
STAT1	SERTAD3
SP1	MIR6833
E2F6	PPP1R12B
CEBPB	ENO1-AS1
JUN	ALKBH3-AS1
ATF2	LYN
GABPA	OFD1
ATF3	DNAJB11
MEF2A	MAP4K5
MYC	UBXN10
ESR1	HOXB-AS1
CTCF	PLK2
MYC	TOR3A
GATA2	CYB5D1
TFAP2A	MIR23A
JUNB	SLC50A1
CTCF	AZI2
E2F6	SHB
FOS	TBC1D8
MAX	SNORA6
SPI1	FAM107A
TCF3	RAD23B
JUN	ACSL3
EBF1	SLC25A37
GABPA	TRAPPC12
CTCF	SH3KBP1
MYC	IFT81
E2F1	ZNF860
JUN	TRIM55
PPARG	ZNF576
MAX	JKAMP
USF1	GRK6
MAX	ACAT1
CREB1	ENTPD6
CTCF	MIR7-2
GABPA	PLXNB2
MAX	MRPL45
MYC	ARMC6
SP1	TM2D3
MAX	RTN4
MYC	WDR36
ATF1	ZBTB21
MAX	DUS4L
GABPA	CHPF2
GABPA	ANAPC2
TFAP2A	MISP
TFAP2A	RPP25
YY1	ANP32B
GABPA	KISS1R
SPI1	MPDU1
TFAP2C	TANC2
GABPA	COMT
CTCF	RASL12
EGR1	CNTROB
E2F1	SPATA33
IRF1	NFIX
JUN	ABHD6
JUND	LONRF1
JUND	MIR6843
CTCF	ZNF639
SP1	APBB2
MYB	PIK3R3
E2F6	NR2C2AP
E2F1	GSE1
GATA1	HTR7P1
YY1	FURIN
E2F7	CRADD
AR	GOT1
SP1	AVPR2
E2F7	ADM
NFYB	NPRL2
POU2F2	RHOH
USF1	FES
STAT5A	BCL6
USF1	RMND1
GABPA	DHX8
E2F7	CCDC12
JUN	ZFX
CEBPA	PYGO2
MAX	GUK1
E2F1	TGFBR3
TFAP2C	ACYP1
FOSL1	SLC3A2
TFAP4	PRKCZ
YY1	CSAD
MAX	UBAC1
MYC	B4GALT2
JUN	HIC1
STAT1	ANK3
PAX5	MAD1L1
SPI1	PRSS41
POU2F1	RNU12
EGR1	SIRT1
YY1	CETP
NFE2	TM7SF2
MAX	OTUB1
YY1	CALR
JUN	MXD1
CIITA	HLA-DRA
MAX	AGPAT1
ETS1	MMP3
CEBPA	STON2
GABPA	CHD8
SP1	ARRB1
CEBPA	IDH1-AS1
FLI1	BARD1
EGR1	SP6
PBX1	MAD2L2
CTCF	MIR5188
MAX	PIF1
CTCF	TBC1D9B
ARNT	ZBED5
POU2F1	UGT2B7
SP1	HHIPL1
FOS	ADAMTSL4-AS1
E2F1	ADRM1
SP1	BZW1
CTCF	GALNS
CTCF	DNM1P41
SP1	SBNO2
PBX1	RNF167
SPI1	PPM1M
EGR1	TAF6L
TFAP2C	PARVA
MAX	NUP62CL
EGR1	INO80
CTCF	MIR193B
EGR1	FAM131B
E2F3	USP2
ARNT	HIBADH
GATA1	MIR6801
MAX	PRRC2B
NFIC	ZNF653
HNF4A	ATF4
MAX	ZNF280C
TFAP2C	CELSR2
JUN	NFKB1
E2F1	DCK
CEBPD	POU5F1
USF1	RAB3IL1
FOS	YOD1
GABPA	TSTD2
ARNT	ELOVL3
MAX	NOA1
MAX	SMIM10
CTCF	PILRA
FOXA2	FSIP1
TFAP2A	ZNF500
CTCF	LINC00475
CTCF	CD80
HNF4A	TNFRSF12A
TFAP2A	PRR14
ATF2	TEAD1
CEBPB	RBBP5
TFAP2A	SGSM2
YY1	PUS3
JUND	CCR10
GABPA	SCAMP1
CTCF	SNX18
E2F1	DUSP1
MYB	ATAD1
CTCF	GCNT4
USF1	NAGPA
TFAP2A	METTL8
TFAP2C	MIR6730
MAX	MOCOS
CREB1	STAR
GABPA	AMZ2P1
E2F2	YIPF1
ATF1	CYSTM1
EBF1	USP3-AS1
TFAP4	MAN2A1
CREB1	UCHL5
STAT3	FCGR1A
E2F2	ACCS
SPI1	NEAT1
MYC	RRP9
MYC	DDX42
EGR1	SNORA64
BACH1	TUBA4B
CREB1	GALNS
RXRA	CPT1A
CREB1	RELT
E2F1	KLF10
GATA1	DENR
NFKB2	SORL1
GATA1	STXBP4
CEBPA	FADS2
LMO2	PRELID1
TFAP2A	LASP1
CEBPA	SLC39A14
PPARG	MAP3K14
SPI1	SIAE
TFAP2A	MIR3193
MAX	RPRD1B
USF1	IFI6
USF1	C7orf50
FOXA1	MPDU1
EGR1	LTB
USF1	RNASE4
MAX	EEF2
JUN	RAB25
CTCF	RBM4B
GABPA	DPY19L3
EGR1	DNMT3B
SP1	TM2D2
GABPA	OSTM1
FOXA2	TMEM88B
RXRA	B4GALT1-AS1
TFAP2A	LTBR
MAX	TSPAN3
SP1	TSKS
NR2F2	IPO13
GABPA	PPP1R12B
JUN	CDC42EP3
GATA1	PNMT
GABPA	ABCC10
MAX	RPL23A
TFAP2C	NOTCH1
CREB1	HCST
CTCF	TBC1D22A
MAX	TMEM18
MYC	KIFC1
CTCF	KCNB1
REST	SLC39A9
E2F1	HESX1
GABPA	TSNAX
FOS	EMP3
CTCF	PSTK
CEBPB	RNU4ATAC
TCF3	FOXA3
SPI1	ARHGAP12
EGR1	ARSB
EBF1	SPX
NFIC	CDK2AP1
GABPA	VPS13B
AR	ARG1
SP3	MSH6
GABPA	SDHC
E2F1	CDK6
TFAP2C	MIR330
TCF3	SH3BP1
GABPA	PGBD5
CREB1	JARID2
TFAP2C	MKNK1
TFAP2C	SLC29A2
NFIC	HSD11B2
CREB1	ITGB1
TFAP2C	CDCA7L
IRF1	TLE3
POU2F1	PALLD
REST	PAQR4
MAX	UBE2V2
PAX5	NOL4L
GATA1	CEBPA
CREB1	MIR6891
CEBPB	PRICKLE1
E2F1	TIMP1
NFKB1	VWF
EGR1	DPF1
MAX	GPR146
NFKB1	CD69
MAX	TRIM39
LEF1	BIRC5
SP1	MRPS27
GATA2	STAU2
SPI1	MAP10
GABPA	NUCB1
CTCF	GADD45B
CREB1	OAZ3
GABPA	MTIF2
FOS	SNORA74B
ATF2	FBXO42
RXRA	APOA5
FOS	DST
E2F1	RAB11B
CTCF	BATF2
USF1	HDAC3
E2F1	PCBD2
IRF1	SPATA7
TFAP2C	CIRBP-AS1
MAX	MED28
EP300	SIPA1
CEBPD	TNF
FOS	HLA-DPA1
EGR1	SOX12
GABPA	USHBP1
MAX	MGME1
CEBPB	DLC1
CTCF	DNLZ
USF1	MIR4479
GATA1	GFOD1
FOXA2	APOL2
CTCF	RAPGEF1
NFE2	KLC1
USF1	PSMD9
USF1	FBRSL1
EBF1	FBXO4
E2F1	SPPL2A
FOXA1	HYAL3
CREB1	PLEKHA4
GABPA	NUDT22
RFXAP	HLA-DOB
ARNT	DHRS3
E2F6	CLK3
JUN	RAI14
TFAP2A	SDF2L1
GABPA	SLC25A20
FOS	CCDC12
GABPA	G2E3
EP300	RNF150
STAT3	CYP19A1
E2F3	ANO8
TFAP2C	DMXL1
USF1	PHC2
GABPA	MTERF4
JUN	DST
JUN	ORC2
CTCF	SLC25A25-AS1
GABPA	CDC123
EGR1	AANAT
TFAP2A	CNGA1
E2F1	RNASEH2B-AS1
MYC	WDR24
SP1	SAMD10
CEBPB	GDF15
CTCF	ITGA10
MAX	CRTC2
EGR1	HSPB1
TFAP2A	MIR126
JUNB	MAP7D1
TP53	CCNA1
TFAP2C	MIR4710
MAX	PHOSPHO2
MAX	ATP6V1E2
USF1	C5orf22
MAX	RGCC
ETS1	RNMT
E2F6	DCTPP1
USF1	HRAS
CTCF	SH2D3A
USF1	SH3D21
SPI1	NME1-NME2
AHR	LINC00886
FOS	FAM107B
CTCF	USP48
FOS	SPRED2
SP1	CDKN1A
USF1	MIR106A
STAT3	PTGS2
SPI1	MX2
GABPA	ARMC6
EBF1	RTN4
SPI1	GSK3A
ATF2	KAT5
MAX	KCNH4
GABPA	DBN1
MAX	LINC00324
GABPA	LINC01366
USF1	UBXN8
TFAP2C	NUMA1
AHR	MAX
MAX	CAMKK2
MAX	DICER1
CTCF	PLCL2
ATF2	SMARCA2
CREB1	ARID1A
EGR1	STAG3
PAX8	TP53
EGR1	NEDD4L
CTCF	MIR4478
CEBPA	DCAF7
TFAP2C	CD14
CEBPA	EHHADH
CTCF	MIR6740
CEBPA	FOSL1
E2F1	SLC25A1
TFAP2C	MAP3K14
TFAP2A	BHLHE40
USF1	COPRS
MAX	ACTR3C
USF1	MIR4797
SP1	UNC45A
CTCF	MIRLET7I
CREB1	TCEA2
FOXA1	MIR5694
MAX	LINC00963
USF1	RNF19A
MYC	ERF
MAX	TRMT61B
MAX	ZNF232
TFAP2A	EXD3
MAX	TADA1
POU2F1	XPR1
NR2F2	PHF23
TCF3	QTRT1
GABPA	GSDMD
TCF3	SLC25A25
MYC	SNORA10
MAX	NFIA
IRF1	RERE
MAX	CHCHD10
EGR1	PUF60
RELA	FLOT1
SPI1	EMILIN2
JUND	DMPK
MYC	EPC1
USF1	ZNF598
GABPA	SCO2
MAX	DNALI1
MYC	TUBA1C
SP1	RAB4B
IRF1	SH2D4B
JUN	SRXN1
TFAP2A	CSTB
GABPA	SETD6
GABPA	PWP2
WT1	MYCN
JUN	RHOV
EGR1	CCDC137
TFAP2C	CD44
CREB1	PAK1IP1
EGR1	MACF1
MYC	C17orf99
MYC	CKS2
EBF1	DIAPH2
GATA1	BCL7B
FOS	NLK
E2F6	MCFD2
JUN	FILIP1
CTCF	CCDC51
MAX	MTPAP
CTCF	PDCD2
CTCF	MAEA
CTCF	SEC14L1
MAX	RPL7L1
GABPA	DDX19A
EBF1	SEMA4A
E2F1	PIGW
MYC	PPA1
MAX	NDE1
ESR1	MIR608
E2F1	TPCN1
TFAP2A	SLC25A10
MAX	URAHP
MYC	STAG3
EBF1	MIR4462
TFAP2A	ZNF774
MAX	PURG
USF1	APOC1P1
E2F6	POLD2
GABPA	MIR6834
GATA1	INSR
FOSL1	ACADVL
CEBPB	C10orf55
MYB	MYC
E2F6	CES4A
SP1	MUC1
CREB1	SMG1P5
FOS	WDR45
MYC	APRT
MYC	UBA1
KAT5	ERCC1
MAX	UQCC2
JUN	GCK
TFAP2A	S100A6
JUN	NAA16
CREB1	SNORA10
MAX	GEMIN5
POU2F2	H3-3B
GABPA	ZNF787
YY1	KDM6B
JUN	PENK
MAX	FAM228B
USF1	CDC73
