TF	Target
JUN	RARA
CREB1	CD4
MYC	NRL
USF1	PDK2
MYC	DNPH1
CREB1	CYP11B1
USF1	RARG
STAT5B	ESR2
SP1	RPS3A
MYC	CLN3
USF1	CCNB1
ATF2	FN1
TFAP2C	GPRC5C
TFAP2A	VEGFB
USF1	PI4KA
SP1	MMP9
TFAP2A	NQO1
STAT1	FCGR1A
E2F1	ARHGEF17
CREB1	CGA
SP1	TIMP2
TFAP2C	MIOS
ESR1	MYC
E2F1	XRCC1
USF1	SNORA51
E2F1	DUT
MYC	GCLC
E2F1	N4BP1
E2F1	DHX9
TP53	MAP4
SP1	CYP17A1
TP53	CD82
SP1	SPRED3
MYC	TSC2
TFAP2A	SPHK1
YY1	ADAMTS4
FOS	KDM3A
ERG	HMOX1
POU2F2	SPI1
TFAP2A	SCAF1
E2F1	SLC20A1
TFAP2A	ANKRD13B
E2F1	CSNK2B
YY1	MCFD2
USF1	NAA50
E2F1	SUGP2
USF1	PRRT2
YY1	HARS2
FOS	PSMC6
EGR1	GRK6
MYC	PRR7-AS1
MAX	CDK4
ETS1	VEGFA
STAT1	CISH
USF1	IGSF9
MAX	CKS2
E2F7	E2F1
JUN	STARD13
JUN	IL2
JUN	LAPTM5
YY1	SNORD32A
PAX5	PRKCE
STAT3	GFAP
SP1	NQO2
USF1	ASPH
MYC	KLHL21
EGR1	KANSL1
JUN	IL5
SMAD3	ZFP36
SP1	BTK
JUN	LRRC27
E2F1	HLTF
STAT1	IFNG
ETS1	PARP1
EGR1	GDF15
NFKB1	VEGFA
JUN	PCBP3
JUN	EXOC6
SPI1	CIITA
TFAP2A	PLAGL2
JUN	LMNA
MYC	TXNDC5
EGR1	AGO1
STAT1	TP53
E2F1	NDC80
EGR1	C6orf47
SP1	BAX
SP1	MUS81
SP1	NRSN2-AS1
SP1	FOSL1
SP1	STAG3
SPI1	FCGR1A
USF1	ARSG
CIITA	HLA-DMA
EGR1	ZNF646
REST	GRIN1
MYC	SEC1P
ESR1	SOCS2
MYC	NCL
USF1	MFHAS1
USF1	B3GNT9
JUN	PRNP
JUN	CHSY1
JUN	NQO1
JUN	RC3H1
JUN	MIR99AHG
TFAP2A	IRF1
SP1	INSR
FOS	GATAD2A
SPI1	CD22
GATA1	GSE1
REST	BDNF
USF1	ATOH8
SMAD4	SERPINE1
MYC	HSPD1
TFAP2A	JADE2
E2F1	WRAP73
NFIC	HMGB1
EGR1	BHLHE40
SP1	EVI5L
TFAP2A	ERBB2
USF1	LARP1
YY1	DCAKD
E2F1	PPRC1
USF1	EIF4G1
RFX5	HLA-DRB1
E2F1	COMMD1
E2F1	DNAJC9-AS1
E2F1	BRPF3
E2F1	WNK1
SP1	TSNAXIP1
E2F1	CUX1
USF1	NPTN
GATA1	HERC1
JUN	SHISA5
FOS	STK40
E2F1	HCN3
EGR1	CRABP2
JUN	CTNNA1
FLI1	ID2
E2F1	POLD3
MYC	GALC
MYC	SUGP2
EGR1	DBNDD2
NFIC	JUN
MYC	VASP
STAT4	IL2RA
JUN	TNFRSF10A
NFKB1	F3
REST	LIN28A
EGR1	GMEB2
SRF	SUN2
EP300	CDKN1A
USF2	PTPN6
MYC	PHPT1
E2F1	ARPC5L
SP1	SPN
TFAP2A	LIFR
SP1	JUND
E2F1	SIK2
FOS	PTGS2
YY1	ZNF580
IRF1	TAPBP
TFAP2C	LIFR-AS1
USF1	PTPN6
E2F1	RNF168
ETS2	IL5
JUN	DDR1
USF1	CBX5
JUN	EFR3A
NFKB1	RIPK2
E2F1	AP4M1
USF1	SLC19A1
E2F1	LPAR2
MYC	PRPSAP1
SP1	NFE2L1
ATF2	CCND1
JUN	ABCB1
MYC	PYCR1
SP1	IL2RB
USF1	MTHFD1L
SRF	AKAP12
ETS1	IL5
SP1	EPO
JUN	TIMP2
SP1	EGFR
MYC	HSPE1
EGR1	HS6ST1
SP1	DUSP5
MYC	EBNA1BP2
TFAP2C	RNPEP
USF1	CYP19A1
EGR1	TTC9B
TP53	GDF15
SP1	VAMP2
SP1	MAPKAPK3
POU2F1	GFI1B
EGR1	GSK3A
TFAP2A	PLK3
SP1	POR
TFAP2C	FAM53B
USF1	ARL3
NFE2	GCLC
SP1	RASSF7
USF1	LIPC
EPAS1	VEGFA
FOS	RFFL
PAX8	TG
TFAP2A	WDFY2
FOS	TRIB1
TFAP2C	PPP1R14B
SP1	UBC
JUN	HELZ
YY1	MIR762
CREB1	BCL2L11
TFAP2A	PFKFB3
E2F1	KIAA1143
TFAP2A	DSG2
MYC	LTBR
HDAC1	FOS
E2F1	PRKCE
SRF	DGKH
ATF3	ASNS
E2F1	APPL1
SP1	MBD6
SP1	LDLR
EGR1	NRSN2-AS1
ARNT	ENO2
E2F1	FUS
STAT3	PIM1
USF1	MIR142
FOS	CCL5
E2F1	THAP4
USF1	FCHSD2
MYC	STK4
TP53	PERP
E2F1	EDEM3
STAT4	CISH
SP1	BCAR1
MYC	TOMM20
ETS1	TBXAS1
E2F1	MIR4738
SP1	PLCD1
E2F1	RABEP1
E2F1	PTMA
TFAP2A	STAU1
MYC	HERPUD1
USF1	SCYL1
EGR1	CHD9
MYC	INSR
MYC	MSN
SRF	HIPK1-AS1
SRF	DUSP2
SP1	SLC39A1
TFAP2A	GPRC5C
MAX	ODC1
TFAP2A	ZSWIM6
SP1	MCTS1
SP1	SLC38A3
JUN	CD44
NFE2L2	NQO1
YY1	ZNHIT2
MYB	ERBB2
SP1	EGFL7
SMAD3	SMAD7
MYC	NAB2
SP1	FLII
TP53	SFN
USF1	CALR
SP1	TK1
JUN	KDM3A
E2F1	PPP6R3
TFAP2A	EGFR
EGR1	CYB561D1
MYC	NDUFS1
GABPA	ERBB2
SP1	ARAP1
CEBPA	TIMP2
JUN	KLHL21
HIF1A	HK1
USF1	APEX1
EGR1	CACNA1H
TFAP2A	GDPGP1
SP1	IER5L
MYC	RANBP1
E2F3	CDC6
SP1	SLC7A5
STAT5B	CISH
SPI1	WAS
MYC	CUTA
TFAP2A	PIP4K2B
FOS	IL1A
USF1	MIR6515
SP1	MDC1
TFAP2A	POLD1
EGR1	PSEN2
USF1	MAT2A
YY1	HCFC1
ESR1	HSPB1
PPARG	DBI
SRF	ACTA1
JUN	REXO2
SP1	ARHGEF19
E2F1	MCM4
E2F1	PPIG
YY1	FAU
CEBPB	INSR
FOS	CLDN6
SPI1	PRTN3
MYC	DDX18
POU2F1	GADD45A
FOS	AXL
ETS1	TGFBR2
FOS	C19orf33
STAT3	CDKN1A
SP1	GAST
E2F1	SYNE2
MYC	MEX3A
JUN	HSP90AB1
SP1	IRF5
REST	CDK5R1
JUN	ICAM1
SREBF1	FASN
E2F1	MORC4
USF1	IPO4
FOS	POLD4
FOS	CIRBP
E2F1	TRIM39
JUN	SLC38A1
REST	RNF41
ETS1	SPRY2
USF1	VAC14
USF1	GPC2
PPARG	MYC
MYC	HSPA9
E2F1	SEZ6L2
CLOCK	CRY2
FOS	CTTNBP2NL
EGR1	THOC6
E2F1	RRM2
YY1	THBS4
CTCF	CELSR3
E2F1	RPS20
E2F1	GCH1
FOS	ERCC1
SP1	CD83
PPARG	FOS
SP1	MAT2A
EGR1	CORO1C
FOS	EXD1
E2F1	MIR1227
CLOCK	BHLHE41
JUN	SPTBN4
IRF1	IFNB1
TFAP2A	NF1
NFKB1	EDN1
EGR1	RNF19A
SP1	DDIT4
USF1	LZTS2
E2F1	SMC3
E2F1	TLE3
CREB1	MCAM
USF1	HIF1A-AS1
JUN	MXI1
SP1	RYR1
TP53	IGFBP3
SP1	FKBP8
NFIC	C4BPB
JUN	ERCC1
E2F4	ID3
SP1	MIR6813
FOS	CCND1
EGR1	CIRBP
E2F1	CDC25B
PPARA	ACOX1
MYC	TEF
SP1	TRAF7
USF1	ARHGEF3
SPI1	SRF
E2F1	NIPBL
REST	CARTPT
USF1	SIRT2
EGR2	FASLG
TFAP2A	CD82
EGR1	NAT9
SPI1	SCARB2
HIF1A	CA9
TFAP2C	GPR137
CREB1	PSEN1
E2F1	FOXM1
FOS	MMP3
SP1	BCL9L
E2F1	CALM1
CLOCK	PER1
ESR2	FOS
EGR1	OTUD5
E2F1	GPX4
SP1	RGS19
MYC	STAT6
E2F1	DROSHA
FOS	DGKA
EGR1	IFNGR2
E2F1	CCDC85C
CEBPA	PCK2
E2F1	CHEK1
SP1	COL18A1
E2F1	MIR3143
USF1	TEF
RELA	IL2
SP1	PPRC1
SRF	CFL1
MYC	TOP1
MYC	CBX5
E2F1	KLF9
USF1	APC
REST	VIP
SP1	GM2A
E2F1	WBP2NL
GATA1	ASIC4
MYC	SRM
CTCF	MYC
YY1	CTDSP1
STAT3	SOCS1
TFAP2A	CREB3
SP1	CYP46A1
USF1	SNX8
USF1	NDUFC1
SP1	TBXA2R
E2F1	DNAJB14
EGR1	HSPA1A
MYC	HNRNPA2B1
CREB1	VEGFA
HSF1	HSPA1B
ATF2	PCK1
CEBPA	BCL2
CEBPA	MAD1L1
USF1	RAPGEF3
E2F1	PRKDC
SP1	TMEM256-PLSCR3
FOS	MIR6843
USF1	RPIA
E2F1	PRPS2
SP1	PTRH1
EGR1	RTN4RL1
SPI1	NOS3
JUN	DVL2
REST	CENPB
SP1	CRELD2
ATF1	TH
CEBPA	HSPA4
MYC	USO1
JUN	EXD1
CEBPB	F8
E2F1	SOCS3
MYC	NPW
JUN	CIRBP
USF1	MCOLN1
ETS1	CSF3R
EGR1	FGFR3
REL	ICAM1
ESR2	EBAG9
CTCF	PBXIP1
E2F1	SERF2
NFKB1	EBI3
SP1	BCL3
SRF	ANAPC15
IRF1	POLH
TFAP2A	INAFM2
SP1	IL10
ETS1	CHUK
EGR1	DYNLL1
STAT3	VEGFA
SP1	SERPINE1
USF1	ADRA2B
EGR1	NDUFA4L2
YY1	DLG1
FOS	ZYX
STAT1	RIPK1
FOS	KLHL21
E2F1	TP73
FOS	SHC3
TFAP2A	PRICKLE4
USF1	NSD1
USF1	PCP2
JUN	VCAM1
MYC	MTHFR
TFAP2A	PLAUR
MYC	SUPT5H
HIF1A	PFKFB3
SRF	DUSP5
NFIC	GOT1
E2F1	HIVEP1
CREB1	CYP11B2
JUN	ERBB3
POU2F1	GCM1
GATA1	TNFAIP8
CREB1	FOSB
YY1	INO80E
TFAP2A	KMT2A
SP1	TNFRSF10B
MYC	VAC14
SREBF1	ACLY
CREB1	RRM2B
MYC	NUP153
ATF1	FLT1
MYC	DPM1
E2F1	DCTN3
EGR1	MCHR1
SP1	CDK2
SP1	OSBP
TFAP2A	L1CAM
EP300	VEGFA
MYC	NTN3
E2F1	GINS3
SRF	MYADM
RELA	ARL6IP5
NFKB1	IL4
YY1	ALOXE3
ATF2	ATF3
USF1	FAM118B
EGR1	LMNTD2
E2F1	VCP
EGR1	SETX
EGR1	ERF
YY1	NUTF2
ELK1	FOSL1
GATA1	SLC6A9
EGR1	PTMS
FOS	ZFP36
GATA1	CRIP1
ETS1	ECE1
ETS1	CSNK2B
USF1	HES1
SP1	VIM
RFX5	HLA-DMB
JUN	SBK3
JUN	FADS3
RELA	BCL2
TFAP2A	HDAC4
FOS	SH3D19
TFAP2C	MARK3
PPARG	ADIPOQ
YY1	B3GALT6
MYC	HSPB9
FOS	MIR4479
EGR1	GPSM3
USF1	DCTPP1
SP1	PPT2
SP1	FBXL19
ETS2	EGR1
SP1	MIR3193
EGR1	PRKACA
FOS	LAPTM5
TP53	CAV1
JUN	IRGQ
MYC	ATAD3B
EGR1	TBC1D10A
FOS	TNXB
TFAP2C	SUMO2
E2F1	HIRA
CEBPA	FN1
SP1	ACTN1
RELA	LTA
USF1	IP6K1
SPI1	CD40
SP1	JUP
YY1	MSANTD2
E2F1	PLCL2
FOS	F3
USF1	BRCA2
EGR1	MIR6892
USF1	SEC1P
MYC	SLC4A2
ESR1	CDH1
YY1	TOP3A
MYC	POLR3G
JUN	HSD52
ERG	ICAM2
ATF2	PLAT
USF1	MVP
TFAP2A	MIR6853
SRF	TNS1
FOS	SLC1A5
SP1	C11orf68
TP53	PRG3
YY1	CTF1
PPARG	PLIN2
USF1	TBC1D5
SP1	GZF1
EGR1	PDE4A
YY1	PTMA
YY1	CHD3
EGR1	DSTYK
FOS	LINC01010
STAT5B	BCL2L1
FOS	CIC
NFKB1	SOCS3
USF1	PDE4A
E2F1	SRCAP
EGR1	PLEKHG2
USF1	INF2
RFX5	HLA-DQB1
E2F1	WDR76
E2F1	RFC3
E2F1	TRIM39-RPP21
TFAP2A	MARK3
SPI1	ITGB1
SP1	DNAJC4
E2F1	EXOSC9
USF1	MFSD5
EGR1	HMGA1
USF1	TOM1L2
E2F1	PLEKHJ1
SRF	LPP
TFAP2C	ZNF653
FOS	MIR5008
JUN	NTS
MYC	RHOG
EGR1	FCER2
TFAP2A	TERF2
SP1	TEX2
IRF1	TAP1
USF1	SLC25A32
TFAP2A	SDC4
NFKB2	LTA
TFAP2C	BCL3
TFAP2A	RNPEP
STAT5B	CCND1
ETS1	CSNK2A1
SP1	DACT3
FOS	OSBPL10
USF1	CTSD
FOS	UBALD1
SP1	ELP5
FOS	BACH1
MYC	STAT3
E2F4	LTBP4
E2F1	TRA2B
USF1	UBA1
YY1	HIF1A
E2F1	LTN1
TFAP2C	MUS81
TFAP2A	ADM
E2F1	TEX9
SP1	TANGO2
STAT2	RIPK1
SMAD4	CDKN2B
SP1	MAP3K11
JUN	MIR5008
JUN	CCL5
EGR1	SLC9A8
E2F1	CSTF2T
NFE2L2	HMOX1
PPARA	ANGPTL4
NFIC	POLD2
ATF2	CYP11B1
USF1	ARMC6
ESR1	CYP1A1
FLI1	GP9
RELA	CSF2
STAT1	IFIT3
USF1	STK16
YY1	SF3B3
E2F1	LRRFIP1
NFIC	SFTPC
PPARA	UCP1
USF1	BLOC1S1
E2F1	SRSF8
JUN	FERMT3
SPI1	SCARB1
YY1	CELSR3
SP1	NUP98
SP1	TRIP10
RELA	SOCS3
TFAP2A	ULK2
YY1	CREBBP
USF1	TSC1
USF1	HOXB4
JUN	HRH1
TFAP2C	MYO1C
GATA1	TFR2
USF1	DOHH
SP1	DEAF1
USF1	MKLN1
JUN	HBP1
JUN	ENTPD8
SP1	ACO2
SRF	EGR3
CREB1	ODC1
USF1	HES6
CREB1	VIP
E2F1	MIRLET7I
RELA	EML2
JUN	IL6
GATA3	GATA3
YY1	MIR607
SP1	DNMT3A
RELA	NOS2
E2F1	SCN8A
GATA1	GNB1L
SP1	YIF1A
JUN	CLDN7
ATF2	CDKN1A
CREB1	PCK2
YY1	GPR137
RELA	IL1B
E2F1	NFATC2IP
MYC	REPIN1
FOS	CAMTA1
STAT3	HMOX1
SP1	RAB40C
SP1	NFYC
TFAP2A	MIR607
STAT1	VIP
ETS1	TFAP2A
MYC	BCKDHA
SRF	PRM2
EGR1	CXXC5
USF1	PPFIBP2
TP53	PTEN
PAX5	BHLHE40
E2F1	PAN2
USF1	ZFP36L2
USF1	RLF
FOS	S100A2
NFKB1	IL2
USF1	HNRNPF
EGR1	ABCA2
EGR1	CDK5
MYC	IFRD2
REST	RTN2
NFKB1	IL10
MYC	SNORD56
SP1	SEZ6L2
RFX5	HLA-DMA
PPARG	CDKN1A
FLI1	GP6
E2F1	PANK2
NFKB1	IFNG
ERG	VIM
SRF	ACTB
E2F1	TPT1-AS1
STAT1	CXCL9
CREB1	VEGFB
SRF	EGR2
NFKB1	IL1A
TFAP2A	SERTAD3
RFX5	HLA-DQA1
SPI1	IL1RN
USF1	PER1
JUN	KRT8
E2F1	ENDOD1
ETS1	FOSL1
JUN	ANAPC10
MYC	VDAC2
ARNT	BHLHE40
SPI1	IL12B
IRF1	CXCL10
E2F1	LIN54
SP1	LRRC8E
STAT5A	CCND2
USF1	ADNP-AS1
STAT1	IRF7
EGR1	ZBTB7A
ATF1	STAT3
SP1	ERI3
E2F1	DLEU1
E2F1	HIP1
EP300	EPO
CLOCK	CRY1
E2F1	DUSP4
GATA1	SH2B3
ESR1	CDKN1A
TFAP2A	RRAS
E2F1	SLC4A2
CEBPA	CD14
TFAP2C	PIP4K2B
TFAP2C	ATF3
SP1	ATP2A3
PPARA	LPL
EGR1	HNRNPUL2
MYC	DAZAP1
MYC	ACTG1
CLOCK	PER2
USF1	ATXN3
TFAP2A	HK2
EGR1	RARG
TFAP2C	CREB3
E2F1	CCNE2
SPI1	ACP5
TFAP2A	GUSB
E2F1	CASC11
TFAP2C	PBX3
USF1	SEMA4B
E2F1	MSH2
TFAP2A	HSD17B1
JUN	SMARCA2
E2F1	STMN1
EGR1	HCFC1
JUN	PDGFRB
EGR1	TNFRSF12A
TFAP2C	GDPGP1
TFAP2C	PLAGL2
SP1	BMF
CEBPB	TNFAIP6
SP1	TIMM50
HIF1A	BNIP3
PAX5	ABR
EGR1	MNT
FOS	ATP1B1
JUN	VIM
E2F1	USPL1
REST	RUNDC3A
SP1	CTF1
MYC	TGFB2
SP1	SPAG4
JUN	SH3KBP1
SP1	TMEM198
E2F1	SPHK1
SP1	HOXB7
E2F1	MCM9
EGR1	DRAP1
JUN	SYNGAP1
EGR1	BCAR3
SP1	RRBP1
GATA1	EPOR
NFIC	ALAS1
JUN	IL1B
USF1	TSPAN4
JUN	SLC38A6
TFAP2A	MUS81
EGR1	C19orf25
STAT5A	CCND1
EGR1	ELK4
EGR1	TGFB1
FOS	FOSL1
USF1	SUMF1
NFKB1	THBD
TFAP2C	SMAD7
STAT2	IRF1
NFKB1	CCL3
FOS	NTS
JUN	WDR81
RELA	PLAU
NFKB1	PTPN13
GATA1	RTN4
EGR1	JUND
SP1	CDH3
USF1	BCL7C
FOS	KRT8
JUN	IFNB1
E2F1	SMC4
ETS1	ABCB1
SP1	GGA1
CEBPA	IL10
JUN	LGALS3
USF1	PPRC1
MYC	DDB1
E2F1	EPM2AIP1
CTCF	NF1
MYB	MAT2A
MYC	TCOF1
E2F1	ERH
RELA	CXCL3
NFYB	HLA-DQB1
USF1	RALGDS
EGR1	YY1
USF1	SLC16A1
EGR1	ACTG1
SP1	IGF1R
RELA	IL2RA
TFAP2A	ATP2A3
E2F1	P2RX3
ETS1	TP53
SP1	SIPA1
MYC	AMPD2
YY1	TSKU
RELA	VCAM1
MYB	LCK
USF1	PHF20
RELA	IL4
PPARG	LPL
EGR1	PTP4A1
E2F1	MIR3917
JUN	IL12B
TP53	TNFRSF10B
E2F1	ZNF644
TFAP2C	RNF19B
ATF2	DUSP1
TFAP2A	TUBG2
ERG	CDH5
FOS	RXRB
ESR1	CTSD
TFAP2A	PTGDS
JUN	ASCC2
TFAP2A	TGFA
USF1	PRELID1
SP1	CHRNB4
FOS	SPTBN4
TP53	TBXAS1
MYC	CLCN6
TFAP2C	SYT7
TFAP2A	ITGB1
TFAP2A	PARP1
SP1	TNFRSF12A
E2F1	USP49
USF1	TOM1
MYC	WRN
SP1	SEMA7A
NFIC	CYP1A1
EGR1	IMPDH2
EGR1	IMPDH1
USF1	PTP4A3
HIF1A	PFKFB4
MYC	MPST
JUN	SERTAD1
USF1	CHTF8
REST	SYP
YY1	RPL36
RELA	PIK3CD-AS1
SP1	CETP
YY1	MIR6782
TP53	FAS
MYC	EIF4H
YY1	C9orf163
FOS	PLEKHG4
EGR1	SPTBN4
SP1	NR4A1
TFAP2A	MIDN
JUN	AGER
CREB1	POLD2
MYB	BCL2
MYB	CD4
JUN	NINJ2
E2F1	GINS1
YY1	FAM193B
MYC	TNFRSF8
SP1	ICAM1
SRF	UBALD1
E2F1	CASP7
EGR1	SRRM2-AS1
SP1	KRT19
YY1	CSNK2A1
YY1	GALR2
JUN	PLEC
E2F1	NUP155
USF1	LYL1
SP1	PPT2-EGFL8
ETS1	LCK
USF1	GNAT2
TFAP2C	RTBDN
MYC	PER1
STAT5A	CSN2
FOS	ERBB3
GATA1	DQX1
JUN	ASB5
YY1	CBX5
EGR1	ALOX5
STAT5B	ESR1
YY1	CTCF
TFAP2A	RECQL4
E2F1	PXMP2
JUN	NGF
E2F1	UBR7
ATF1	GOLPH3
MYC	TFAP4
USF1	MC1R
SP1	SLC29A1
EGR1	LASP1
HIF1A	EDN1
E2F1	MDM2
YY1	CMTM3
USF1	CDK5
E2F1	SRSF2
JUN	HEXB
JUN	DRAP1
NFKB1	IL12B
CREB1	SPRY2
NFKB1	IL1B
E2F1	MIS12
E2F1	ETV4
ARNT	GAPDH
YY1	ARCN1
CREB1	IL5RA
JUN	BCL9L
MYC	UNC93B1
FOS	NUAK1
TFAP2C	ZSWIM6
YY1	GGPS1
JUN	BFSP1
YY1	ZNF581
E2F1	KIF2C
EGR1	HNRNPUL2-BSCL2
SMAD3	SERPINE1
YY1	RAB13
CEBPD	C3
E2F1	ZNF503-AS2
YY1	RPS28
MYC	GNL3
JUN	CIC
MYC	UCP3
TFAP2C	PDE8A
USF1	ARHGEF10
LEF1	MYC
USF1	APOA2
GATA1	GP6
TP53	BTG2
CEBPB	IL10
TFAP2A	IFNGR1
GATA1	MIR1205
SP1	ITGAV
E2F1	KANSL3
JUND	FOSL1
STAT3	ZFP36
PPARA	CPT1A
E2F1	MORF4L1
TFAP2A	FAS
MYC	MIR153-1
YY1	TMEM131
USF1	PRR7
JUN	PLEKHM2
E2F1	HAT1
CEBPB	STAR
JUN	PSMC6
SRF	NR2F6
JUN	PPARD
ATF1	TSPAN31
SP1	ZBTB8OS
YY1	APOA2
E2F1	WDR62
USF1	CUTA
SP1	ID1
MYC	DEAF1
